index	species_x	species_y	emo	mo
0	Spc_1	Spc_1	1.0	1.0
1	Spc_1	Spc_2	0.11864406779661019	0.09708737864077666
2	Spc_2	Spc_1	0.33333333333333337	0.35357142857142854
3	Spc_2	Spc_2	1.0	1.0
